congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
119,House,20530,49,10,TX,200,,,"McCAUL, Michael T.",M001157,1962.0,,0.411,0.172,-0.00533,0.99978,24,0,,0.436,0.709
119,House,20533,49,28,TX,100,,,"CUELLAR, Henry",C001063,1955.0,,-0.226,0.63,-5.87721,0.7828,24,2,,-0.157,0.988
119,House,21360,49,14,TX,200,,,"WEBER, Randy",W000814,1953.0,,0.723,0.019,-2.48499,0.90164,24,2,,0.436,0.709
119,House,21362,49,20,TX,100,,,"CASTRO, Joaquin",C001091,1974.0,,-0.399,-0.122,-0.86595,0.96456,24,0,,-0.648,-0.61
119,House,21364,49,25,TX,200,,,"WILLIAMS, Roger",W000816,1949.0,,0.595,0.052,-0.23103,0.9865,17,0,,0.449,0.84
119,House,21365,49,33,TX,100,,,"VEASEY, Marc",V000131,1971.0,,-0.407,0.348,-5.12339,0.80777,24,3,,-0.491,0.69
119,House,21551,49,36,TX,200,,,"BABIN, Brian",B001291,1948.0,,0.712,0.109,-1.11016,0.9548,24,0,,0.819,0.573
119,House,21700,49,19,TX,200,,,"ARRINGTON, Jodey Cook",A000375,1972.0,,0.644,-0.003,-1.71156,0.92829,23,2,,0.889,-0.203
119,House,21722,49,34,TX,100,,,"GONZALEZ, Vicente Jr.",G000581,1967.0,,-0.382,0.819,-8.12343,0.69125,22,3,,-0.241,0.971
119,House,21758,49,27,TX,200,,,"CLOUD, Michael",C001115,1975.0,,0.686,-0.36,-0.29219,0.98738,23,0,,0.889,-0.202
119,House,21911,49,2,TX,200,,,"CRENSHAW, Daniel",C001120,1984.0,,0.434,0.274,-0.00303,0.99987,24,0,,0.436,0.709
119,House,21917,49,16,TX,100,,,"ESCOBAR, Veronica",E000299,1969.0,,-0.489,-0.257,-0.1779,0.99261,24,0,,-0.648,-0.61
119,House,21919,49,7,TX,100,,,"FLETCHER, Elizabeth",F000468,1975.0,,-0.498,0.867,-5.5961,0.79202,24,4,,-0.648,-0.61
119,House,21922,49,29,TX,100,,,"GARCIA, Sylvia",G000587,1950.0,,-0.782,0.323,-0.19415,0.99121,22,0,,-0.66,-0.572
119,House,21925,49,5,TX,200,,,"GOODEN, Lance",G000589,1982.0,,0.723,-0.059,-1.70635,0.93137,24,1,,0.819,0.573
119,House,21961,49,21,TX,200,,,"ROY, Charles",R000614,1972.0,,0.8,-0.6,-0.07532,0.99673,23,0,,0.889,-0.203
119,House,22112,49,4,TX,200,,,"FALLON, Pat",F000246,1967.0,,0.715,0.122,-1.08635,0.95574,24,0,,0.819,0.573
119,House,22119,49,23,TX,200,,,"GONZALES, Tony",G000594,1980.0,,0.34,0.234,-0.00677,0.99972,24,0,,0.436,0.709
119,House,22125,49,13,TX,200,,,"JACKSON, Ronny",J000304,1967.0,,0.776,0.141,-0.56995,0.97653,24,0,,0.889,-0.202
119,House,22143,49,22,TX,200,,,"NEHLS, Troy E.",N000026,1968.0,,0.611,-0.245,-0.3979,0.98285,23,0,,0.823,-0.308
119,House,22147,49,11,TX,200,,,"PFLUGER, August",P000048,1977.0,,0.636,0.37,-0.23537,0.99024,24,0,,0.436,0.709
119,House,22155,49,24,TX,200,,,"VAN DUYNE, Beth",V000134,1970.0,,0.603,0.003,-1.58616,0.93605,24,1,,0.497,-0.613
119,House,22160,49,6,TX,200,,,"ELLZEY, Jake",E000071,1970.0,,0.515,0.698,-0.00208,0.99991,24,0,,0.436,0.709
119,House,22307,49,35,TX,100,,,"CASAR, Greg",C001131,1989.0,,-0.408,-0.872,-0.1798,0.99254,24,0,,-0.648,-0.61
119,House,22312,49,30,TX,100,,,"CROCKETT, Jasmine",C001130,1981.0,,-0.506,-0.204,-0.17653,0.99267,24,0,,-0.648,-0.61
119,House,22315,49,15,TX,200,,,"DE LA CRUZ, Monica",D000594,1974.0,,0.466,0.138,-0.01971,0.99914,23,0,,0.436,0.709
119,House,22328,49,38,TX,200,,,"HUNT, Wesley",H001095,1981.0,,0.594,-0.283,-0.9249,0.95883,22,0,,0.497,-0.614
119,House,22344,49,8,TX,200,,,"LUTTRELL, Morgan",L000603,1975.0,,0.604,-0.017,-0.68539,0.97185,24,0,,0.436,0.709
119,House,22352,49,1,TX,200,,,"MORAN, Nathaniel",M001224,1974.0,,0.571,0.545,-0.02467,0.99897,24,0,,0.436,0.709
119,House,22364,49,3,TX,200,,,"SELF, Keith",S001224,1953.0,,0.826,-0.226,-0.04148,0.99827,24,0,,0.889,-0.202
119,House,22517,49,26,TX,200,,,"GILL, Brandon",G000603,1994.0,,,,,,,,,0.889,-0.202
119,House,22519,49,12,TX,200,,,"GOLDMAN, Craig A.",G000601,1968.0,,,,,,,,,0.889,-0.202
119,House,22528,49,32,TX,100,,,"JOHNSON, Julie",J000310,1966.0,,,,,,,,,-0.235,-0.446
119,House,22557,49,18,TX,100,,,"TURNER, Sylvester",T000489,1954.0,,,,,,,,,-0.648,-0.61
119,House,29571,49,37,TX,100,,,"DOGGETT, Lloyd Alton, II",D000399,1946.0,,-0.402,-0.33,-0.45078,0.98139,24,0,,-0.648,-0.61
119,House,29759,49,17,TX,200,,,"SESSIONS, Pete",S000250,1955.0,,0.585,0.169,-0.21604,0.99104,24,0,,0.436,0.709
119,House,22141,67,1,UT,200,,,"MOORE, Blake D.",M001213,1980.0,,0.365,0.322,-0.0022,0.99991,24,0,,0.436,0.709
119,House,22146,67,4,UT,200,,,"OWENS, Burgess",O000086,1951.0,,0.452,0.164,-0.01141,0.9995,23,0,,0.435,0.711
119,House,22376,67,2,UT,200,,,"MALOY, Celeste",M001228,1981.0,,0.423,0.084,-0.01331,0.99945,24,0,,0.436,0.709
119,House,22529,67,3,UT,200,,,"KENNEDY, Mike",K000403,1969.0,,,,,,,,,0.889,-0.202
119,House,22301,6,1,VT,100,,,"BALINT, Becca",B001318,1968.0,,-0.455,-0.474,-0.14111,0.99414,24,0,,-0.648,-0.61
119,House,20756,40,1,VA,200,,,"WITTMAN, Robert J.",W000804,1959.0,,0.448,0.02,-0.03401,0.99858,24,0,,0.436,0.709
119,House,20952,40,11,VA,100,,,"CONNOLLY, Gerald E. (Gerry)",C001078,1950.0,,-0.309,-0.047,-3.00925,0.88216,24,1,,-0.648,-0.61
119,House,21191,40,9,VA,200,,,"GRIFFITH, H. Morgan",G000568,1958.0,,0.513,-0.347,-0.88164,0.96393,24,0,,0.436,0.709
119,House,21554,40,8,VA,100,,,"BEYER, Donald Sternoff Jr.",B001292,1950.0,,-0.392,-0.101,-1.0091,0.95883,24,0,,-0.648,-0.61
119,House,21908,40,6,VA,200,,,"CLINE, Benjamin",C001118,1972.0,,0.716,-0.205,-0.30868,0.98722,24,0,,0.889,-0.202
119,House,22335,40,2,VA,200,,,"KIGGANS, Jennifer",K000399,1971.0,,0.259,0.436,-0.04311,0.99821,24,0,,0.436,0.709
119,House,22374,40,4,VA,100,,,"MCCLELLAN, Jennifer",M001227,1972.0,,-0.557,0.05,-0.30938,0.98719,24,0,,-0.648,-0.61
119,House,22539,40,5,VA,200,,,"MCGUIRE, John J., III",M001239,1968.0,,,,,,,,,0.889,-0.202
119,House,22554,40,10,VA,100,,,"SUBRAMANYAM, Suhas",S001230,1986.0,,,,,,,,,-0.37,0.929
119,House,22558,40,7,VA,100,,,"VINDMAN, Eugene Simon",V000138,1975.0,,,,,,,,,-0.139,-0.229
119,House,39307,40,3,VA,100,,,"SCOTT, Robert C.",S000185,1947.0,,-0.45,-0.003,-0.69729,0.97136,24,0,,-0.648,-0.61
119,House,20145,73,2,WA,100,,,"LARSEN, Richard Ray (Rick)",L000560,1965.0,,-0.365,0.165,-2.27106,0.90971,24,0,,-0.304,-0.488
119,House,21556,73,4,WA,200,,,"NEWHOUSE, Daniel Milton",N000189,1955.0,,0.318,0.328,-0.00758,0.99968,24,0,,0.436,0.709
119,House,21726,73,7,WA,100,,,"JAYAPAL, Pramila",J000298,1965.0,,-0.627,-0.543,-0.00299,0.9997,10,0,,-0.658,-0.608
119,House,21962,73,8,WA,100,,,"SCHRIER, Kim",S001216,1968.0,,-0.284,0.424,-2.01055,0.91964,24,0,,-0.332,0.885
119,House,22153,73,10,WA,100,,,"STRICKLAND, Marilyn",S001159,1962.0,,-0.451,0.38,-2.39384,0.90507,24,1,,-0.304,-0.488
119,House,22358,73,3,WA,100,,,"PEREZ, Marie Gluesenkamp",G000600,1988.0,,-0.085,0.302,-2.38498,0.9015,23,0,,-0.156,0.368
119,House,22502,73,5,WA,200,,,"BAUMGARTNER, Michael",B001322,1975.0,,,,,,,,,0.434,0.706
119,House,22548,73,6,WA,100,,,"RANDALL, Emily",R000621,1985.0,,,,,,,,,-0.648,-0.61
119,House,29768,73,9,WA,100,,,"SMITH, Adam",S000510,1965.0,,-0.29,-0.164,-2.60601,0.89288,23,1,,-0.66,-0.572
119,House,31101,73,1,WA,100,,,"DelBENE, Suzan K.",D000617,1962.0,,-0.292,-0.203,-1.67699,0.93251,24,0,,-0.304,-0.488
119,House,21946,56,1,WV,200,,,"MILLER, Carol",M001205,1950.0,,0.526,0.107,-6.177,0.7552,22,2,,0.889,-0.202
119,House,22543,56,2,WV,200,,,"MOORE, Riley M.",M001235,1980.0,,,,,,,,,0.819,0.573
119,House,20537,25,4,WI,100,,,"MOORE, Gwendolynne S. (Gwen)",M001160,1951.0,,-0.521,-0.273,-0.06207,0.99731,23,0,,-0.646,-0.518
119,House,21370,25,2,WI,100,,,"POCAN, Mark",P000607,1964.0,,-0.525,-0.559,-0.03959,0.99835,24,0,,-0.648,-0.61
119,House,21559,25,6,WI,200,,,"GROTHMAN, Glenn",G000576,1955.0,,0.598,-0.206,-1.02883,0.95804,24,0,,0.497,-0.613
119,House,21970,25,1,WI,200,,,"STEIL, Bryan",S001213,1981.0,,0.417,0.064,-0.01457,0.99939,24,0,,0.436,0.709
119,House,21989,25,7,WI,200,,,"TIFFANY, Thomas P.",T000165,1957.0,,0.643,-0.244,-0.80129,0.96576,23,0,,0.889,-0.202
119,House,22115,25,5,WI,200,,,"FITZGERALD, Scott",F000471,1963.0,,0.6,0.086,-0.18903,0.99181,23,0,,0.472,0.686
119,House,22370,25,3,WI,200,,,"VAN ORDEN, Derrick",V000135,1969.0,,0.377,-0.023,-0.02626,0.99891,24,0,,0.436,0.709
119,House,22383,25,8,WI,200,,,"WIED, Tony",W000829,1976.0,,0.36,-0.297,-0.19734,0.99181,24,0,,0.436,0.709
119,House,22325,68,1,WY,200,,,"HAGEMAN, Harriet",H001096,1962.0,,0.657,-0.375,-0.43735,0.98194,24,0,,0.889,-0.202
119,Senate,42102,41,0,AL,200,,,"TUBERVILLE, Thomas Hawley (Tommy)",T000278,1954.0,,0.936,-0.352,-0.09373,0.99796,46,0,,0.555,0.296
119,Senate,42300,41,0,AL,200,,,"BRITT, Katie Elizabeth",B001319,1982.0,,0.571,0.645,-0.00495,0.99989,46,0,,0.555,0.296
119,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957.0,,0.207,-0.314,-0.64083,0.98586,45,0,,0.183,-0.374
119,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964.0,,0.492,0.111,-0.00829,0.99982,46,0,,0.555,0.296
119,Senate,21502,61,0,AZ,100,,,"GALLEGO, Ruben",G000574,1979.0,,-0.382,0.152,-19.86805,0.64927,46,11,,-0.216,0.301
119,Senate,41905,61,0,AZ,100,,,"KELLY, Mark Edward",K000377,1964.0,,-0.225,0.259,-8.5955,0.82956,46,6,,-0.266,0.371
119,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950.0,,0.427,0.339,-0.00893,0.99981,46,0,,0.555,0.296
119,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977.0,,0.581,0.188,-0.00263,0.99994,46,0,,0.555,0.296
119,Senate,20104,71,0,CA,100,,,"SCHIFF, Adam",S001150,1960.0,,-0.351,-0.123,-7.18951,0.84925,44,2,,-0.477,-0.202
119,Senate,42104,71,0,CA,100,,,"PADILLA, Alejandro (Alex)",P000145,1973.0,,-0.368,-0.359,-4.74947,0.89308,42,2,,-0.387,-0.643
119,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964.0,,-0.232,-0.159,-7.93387,0.84158,46,4,,-0.228,-0.202
119,Senate,42101,62,0,CO,100,,,"HICKENLOOPER, John Wright",H000273,1952.0,,-0.239,-0.062,-7.03884,0.85811,46,2,,-0.194,-0.236
119,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973.0,,-0.275,-0.217,-13.25529,0.74486,45,10,,-0.458,-0.747
119,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946.0,,-0.435,-0.145,-7.76164,0.84474,46,4,,-0.436,0.164
119,Senate,21706,11,0,DE,100,,,"BLUNT ROCHESTER, Lisa",B001303,1962.0,,-0.36,-0.111,-8.68503,0.82795,46,5,,-0.392,-0.324
119,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963.0,,-0.235,-0.223,-12.12041,0.76388,45,5,,-0.278,-0.411
119,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971.0,,0.616,-0.184,-0.00062,0.99991,7,0,,0.569,0.415
119,Senate,41903,43,0,FL,200,,,"SCOTT, Richard Lynn (Rick)",S001217,1952.0,,0.714,-0.013,-0.00618,0.99987,46,0,,0.555,0.296
119,Senate,42506,43,0,FL,200,,,"MOODY, Ashley Brooke",M001244,1975.0,,0.557,0.291,-0.00249,0.99994,39,0,,0.555,0.295
119,Senate,42103,44,0,GA,100,,,"OSSOFF, Thomas Jonathan (Jon)",O000174,1987.0,,-0.417,0.416,-4.14913,0.89392,37,0,,-0.423,0.645
119,Senate,42105,44,0,GA,100,,,"WARNOCK, Raphael Gamaliel",W000790,1969.0,,-0.408,0.344,-7.34717,0.84622,44,2,,-0.373,0.336
119,Senate,20713,82,0,HI,100,,,"HIRONO, Mazie",H001042,1947.0,,-0.514,-0.092,-3.57154,0.9253,46,1,,-0.758,-0.653
119,Senate,41112,82,0,HI,100,,,"SCHATZ, Brian Emanuel",S001194,1972.0,,-0.447,-0.095,-7.47817,0.84689,45,5,,-0.522,-0.51
119,Senate,29345,63,0,ID,200,,,"CRAPO, Michael Dean",C000880,1951.0,,0.504,0.292,-0.00313,0.99993,45,0,,0.555,0.296
119,Senate,40902,63,0,ID,200,,,"RISCH, James",R000584,1943.0,,0.548,0.393,-0.00264,0.99994,46,0,,0.555,0.296
119,Senate,15021,21,0,IL,100,,,"DURBIN, Richard Joseph",D000563,1944.0,,-0.348,-0.304,-6.85382,0.85576,44,4,,-0.355,-0.225
119,Senate,21325,21,0,IL,100,,,"DUCKWORTH, Tammy",D000622,1968.0,,-0.339,0.087,-11.82975,0.77324,46,9,,-0.44,-0.344
119,Senate,21133,22,0,IN,200,,,"YOUNG, Todd",Y000064,1972.0,,0.438,-0.027,-0.05056,0.9989,46,0,,0.555,0.296
119,Senate,21702,22,0,IN,200,,,"BANKS, James E.",B001299,1979.0,,0.647,0.013,-0.0039,0.99992,46,0,,0.555,0.296
119,Senate,14226,31,0,IA,200,,,"GRASSLEY, Charles Ernest",G000386,1933.0,,0.361,-0.037,-0.20181,0.99562,46,0,,0.555,0.296
119,Senate,41502,31,0,IA,200,,,"ERNST, Joni",E000295,1970.0,,0.538,-0.035,-0.00905,0.9998,46,0,,0.555,0.296
119,Senate,21734,32,0,KS,200,,,"MARSHALL, Roger Wayne",M001198,1960.0,,0.607,0.139,-0.00284,0.99994,46,0,,0.555,0.296
119,Senate,29722,32,0,KS,200,,,"MORAN, Jerry",M000934,1954.0,,0.414,0.22,-0.0198,0.99955,44,0,,0.541,0.371
119,Senate,14921,51,0,KY,200,,,"McCONNELL, Addison Mitchell (Mitch)",M000355,1942.0,,0.404,0.022,-2.77494,0.9402,45,1,,0.292,-0.275
119,Senate,41104,51,0,KY,200,,,"PAUL, Rand",P000603,1963.0,,0.891,-0.454,-0.08658,0.99808,45,0,,0.555,0.296
119,Senate,20919,45,0,LA,200,,,"CASSIDY, Bill",C001075,1957.0,,0.464,-0.048,-0.03591,0.99922,46,0,,0.555,0.296
119,Senate,41703,45,0,LA,200,,,"KENNEDY, John Neely",K000393,1951.0,,0.556,-0.142,-0.01312,0.99971,46,0,,0.555,0.296
119,Senate,41300,2,0,ME,328,,,"KING, Angus Stanley, Jr.",K000383,1944.0,,-0.166,-0.194,-7.36907,0.84579,44,2,,-0.184,-0.343
119,Senate,49703,2,0,ME,200,,,"COLLINS, Susan Margaret",C001035,1952.0,,0.119,-0.522,-1.82871,0.96103,46,0,,0.183,-0.374
119,Senate,20330,52,0,MD,100,,,"VAN HOLLEN, Christopher",V000128,1959.0,,-0.394,-0.213,-5.75925,0.88232,46,1,,-0.419,-0.754
119,Senate,42500,52,0,MD,100,,,"ALSOBROOKS, Angela Deneece",A000382,1971.0,,-0.262,-0.721,-5.04751,0.89389,45,3,,-0.252,-0.755
119,Senate,14435,3,0,MA,100,,,"MARKEY, Edward John",M000133,1946.0,,-0.516,-0.467,-1.68687,0.96321,45,0,,-0.758,-0.653
119,Senate,41301,3,0,MA,100,,,"WARREN, Elizabeth",W000817,1949.0,,-0.747,-0.351,-0.59936,0.98705,46,0,,-0.758,-0.653
119,Senate,20923,23,0,MI,100,,,"PETERS, Gary C.",P000595,1958.0,,-0.247,-0.175,-12.35037,0.75999,45,6,,-0.273,0.25
119,Senate,21965,23,0,MI,100,,,"SLOTKIN, Elissa",S001208,1976.0,,-0.321,0.697,-6.57971,0.86672,46,1,,-0.295,0.525
119,Senate,40700,33,0,MN,100,,,"KLOBUCHAR, Amy",K000367,1960.0,,-0.283,-0.341,-6.88441,0.85516,44,2,,-0.287,-0.117
119,Senate,41706,33,0,MN,100,,,"SMITH, Tina",S001203,1958.0,,-0.405,-0.057,-9.0604,0.8139,44,5,,-0.574,-0.08
119,Senate,29534,46,0,MS,200,,,"WICKER, Roger F.",W000437,1951.0,,0.377,0.342,-0.02671,0.99942,46,0,,0.555,0.296
119,Senate,41707,46,0,MS,200,,,"HYDE-SMITH, Cindy",H001079,1959.0,,0.452,0.328,-0.00579,0.99987,44,0,,0.555,0.297
119,Senate,41901,34,0,MO,200,,,"HAWLEY, Joshua David",H001089,1979.0,,0.795,-0.227,-0.02014,0.99956,46,0,,0.555,0.296
119,Senate,42303,34,0,MO,200,,,"SCHMITT, Eric Stephen",S001227,1975.0,,0.943,-0.006,-0.05337,0.99884,46,0,,0.555,0.296
119,Senate,21338,64,0,MT,200,,,"DAINES, Steve",D000618,1962.0,,0.592,-0.04,-0.00492,0.99989,46,0,,0.555,0.296
119,Senate,42503,64,0,MT,200,,,"SHEEHY, Timothy Patrick",S001232,1985.0,,0.567,0.259,-0.00237,0.99995,45,0,,0.566,0.262
119,Senate,41302,35,0,NE,200,,,"FISCHER, Debra (Deb)",F000463,1951.0,,0.462,0.328,-0.00485,0.99989,46,0,,0.555,0.296
119,Senate,42302,35,0,NE,200,,,"RICKETTS, John Peter (Pete)",R000618,1964.0,,0.432,0.544,-0.00729,0.99984,46,0,,0.555,0.296
119,Senate,21743,65,0,NV,100,,,"ROSEN, Jacklyn Sheryl",R000608,1957.0,,-0.288,0.309,-7.63313,0.8471,46,3,,-0.309,0.205
119,Senate,41700,65,0,NV,100,,,"CORTEZ MASTO, Catherine Marie",C001113,1964.0,,-0.361,0.317,-6.63611,0.86566,46,1,,-0.444,0.596
119,Senate,40906,4,0,NH,100,,,"SHAHEEN, Jeanne",S001181,1947.0,,-0.239,-0.112,-9.38264,0.81549,46,6,,-0.197,0.247
119,Senate,41702,4,0,NH,100,,,"HASSAN, Margaret (Maggie)",H001076,1958.0,,-0.234,0.035,-6.60885,0.86341,45,3,,-0.197,0.248
119,Senate,21937,12,0,NJ,100,,,"KIM, Andy",K000394,1982.0,,-0.379,0.21,-18.98437,0.66186,46,12,,-0.432,0.071
119,Senate,41308,12,0,NJ,100,,,"BOOKER, Cory Anthony",B001288,1969.0,,-0.557,-0.305,-13.70326,0.70994,40,4,,-0.416,-0.433
119,Senate,20930,66,0,NM,100,,,"HEINRICH, Martin",H001046,1971.0,,-0.332,-0.021,-10.21834,0.80081,46,5,,-0.37,0.177
119,Senate,20932,66,0,NM,100,,,"LUJÁN, Ben Ray",L000570,1972.0,,-0.37,0.018,-12.23048,0.76653,46,3,,-0.442,0.371
119,Senate,14858,13,0,NY,100,,,"SCHUMER, Charles Ellis (Chuck)",S000148,1950.0,,-0.354,-0.419,-4.93927,0.89819,46,0,,-0.385,-0.893
119,Senate,20735,13,0,NY,100,,,"GILLIBRAND, Kirsten",G000555,1966.0,,-0.458,-0.388,-16.83233,0.69356,46,11,,-0.263,-0.327
119,Senate,21708,47,0,NC,200,,,"BUDD, Theodore Paul",B001305,1971.0,,0.633,-0.075,-0.00492,0.99989,46,0,,0.555,0.296
119,Senate,41504,47,0,NC,200,,,"TILLIS, Thomas Roland (Thom)",T000476,1960.0,,0.388,-0.107,-0.17814,0.99613,46,0,,0.555,0.296
119,Senate,21350,36,0,ND,200,,,"CRAMER, Kevin",C001096,1961.0,,0.397,0.374,-0.01536,0.99967,46,0,,0.555,0.296
119,Senate,41107,36,0,ND,200,,,"HOEVEN, John",H001061,1957.0,,0.398,0.455,-0.01295,0.99972,46,0,,0.555,0.296
119,Senate,42304,24,0,OH,200,,,"VANCE, James David",V000137,1984.0,,0.85,-0.527,-0.0,1.0,1,0,,0.0,0.0
119,Senate,42502,24,0,OH,200,,,"MORENO, Bernardo (Bernie)",M001242,1967.0,,0.556,0.292,-0.00249,0.99995,46,0,,0.555,0.296
119,Senate,42505,24,0,OH,200,,,"HUSTED, Jon Allen",H001104,1967.0,,0.557,0.291,-0.00249,0.99994,39,0,,0.555,0.295
119,Senate,21166,53,0,OK,200,,,"LANKFORD, James",L000575,1968.0,,0.592,0.144,-0.00278,0.99994,45,0,,0.555,0.296
119,Senate,21355,53,0,OK,200,,,"MULLIN, Markwayne",M001190,1977.0,,0.534,0.247,-0.00274,0.99994,45,0,,0.555,0.296
119,Senate,14871,72,0,OR,100,,,"WYDEN, Ronald Lee",W000779,1949.0,,-0.331,-0.485,-6.55912,0.85541,42,3,,-0.405,-0.364
119,Senate,40908,72,0,OR,100,,,"MERKLEY, Jeff",M001176,1956.0,,-0.451,-0.735,-2.78394,0.93731,43,0,,-0.988,0.152
119,Senate,42301,14,0,PA,100,,,"FETTERMAN, John Karl",F000479,1969.0,,-0.191,-0.051,-17.85407,0.56218,31,8,,0.005,0.164
119,Senate,42501,14,0,PA,200,,,"MCCORMICK, David Harold",M001243,1965.0,,0.556,0.292,-0.00249,0.99995,46,0,,0.555,0.296
119,Senate,29142,5,0,RI,100,,,"REED, John F. (Jack)",R000122,1949.0,,-0.368,-0.174,-6.26833,0.87261,46,1,,-0.44,-0.344
119,Senate,40704,5,0,RI,100,,,"WHITEHOUSE, Sheldon",W000802,1955.0,,-0.354,-0.093,-7.44797,0.85052,46,4,,-0.296,-0.43
119,Senate,21173,48,0,SC,200,,,"SCOTT, Tim",S001184,1965.0,,0.634,0.005,-0.00382,0.99992,46,0,,0.555,0.296
119,Senate,29566,48,0,SC,200,,,"GRAHAM, Lindsey O.",G000359,1955.0,,0.366,-0.282,-0.50191,0.98812,42,0,,0.554,0.297
119,Senate,29754,37,0,SD,200,,,"THUNE, John",T000250,1961.0,,0.433,0.226,-0.01344,0.99971,46,0,,0.555,0.296
119,Senate,41505,37,0,SD,200,,,"ROUNDS, Marion Michael (Mike)",R000605,1954.0,,0.351,0.079,-0.14337,0.99689,46,0,,0.555,0.296
119,Senate,20351,54,0,TN,200,,,"BLACKBURN, Marsha",B001243,1952.0,,0.632,0.14,-0.0031,0.99993,46,0,,0.555,0.296
119,Senate,42100,54,0,TN,200,,,"HAGERTY, William Francis (Bill)",H000601,1959.0,,0.68,-0.093,-0.0057,0.99986,42,0,,0.555,0.295
119,Senate,40305,49,0,TX,200,,,"CORNYN, John",C001056,1952.0,,0.469,-0.065,-0.03562,0.99923,46,0,,0.555,0.296
119,Senate,41304,49,0,TX,200,,,"CRUZ, Rafael Edward (Ted)",C001098,1970.0,,0.783,-0.194,-0.01657,0.99955,37,0,,0.555,0.296
119,Senate,21755,67,0,UT,200,,,"CURTIS, John R.",C001114,1960.0,,0.447,0.128,-0.01773,0.99961,46,0,,0.555,0.296
119,Senate,41110,67,0,UT,200,,,"LEE, Mike",L000577,1971.0,,0.891,-0.454,-0.08658,0.99812,46,0,,0.555,0.296
119,Senate,20750,6,0,VT,100,,,"WELCH, Peter",W000800,1947.0,,-0.407,-0.383,-14.99746,0.72178,46,8,,-0.249,-0.546
119,Senate,29147,6,0,VT,328,,,"SANDERS, Bernard",S000033,1941.0,,-0.543,-0.416,-4.25639,0.91162,46,2,,-0.819,0.252
119,Senate,40909,40,0,VA,100,,,"WARNER, Mark",W000805,1954.0,,-0.208,-0.051,-8.00275,0.84032,46,3,,-0.235,0.017
119,Senate,41305,40,0,VA,100,,,"KAINE, Timothy Michael (Tim)",K000384,1958.0,,-0.249,-0.072,-10.60498,0.7941,46,4,,-0.229,-0.229
119,Senate,39310,73,0,WA,100,,,"CANTWELL, Maria E.",C000127,1958.0,,-0.305,-0.403,-9.63747,0.81098,46,6,,-0.322,-0.102
119,Senate,49308,73,0,WA,100,,,"MURRAY, Patty",M001111,1950.0,,-0.353,-0.306,-5.75741,0.87735,44,1,,-0.811,-0.048
119,Senate,20146,56,0,WV,200,,,"CAPITO, Shelley Moore",C001047,1953.0,,0.281,0.144,-0.37518,0.99188,46,0,,0.555,0.296
119,Senate,42504,56,0,WV,200,,,"JUSTICE, James Conley, II",J000312,1951.0,,0.556,0.292,-0.00249,0.99994,42,0,,0.555,0.296
119,Senate,29940,25,0,WI,100,,,"BALDWIN, Tammy",B001230,1962.0,,-0.49,-0.136,-11.48421,0.77907,46,7,,-0.369,-0.047
119,Senate,41111,25,0,WI,200,,,"JOHNSON, Ron",J000293,1955.0,,0.64,-0.142,-0.00647,0.99986,46,0,,0.555,0.296
119,Senate,20953,68,0,WY,200,,,"LUMMIS, Cynthia M.",L000571,1954.0,,0.685,-0.332,-0.01616,0.99963,44,0,,0.555,0.296
119,Senate,40707,68,0,WY,200,,,"BARRASSO, John A.",B001261,1952.0,,0.538,0.197,-0.00299,0.99994,46,0,,0.555,0.296
