bioname,url
"ROGERS, Mike Dennis",https://www.congress.gov/member/mike-rogers/R000572
"SEWELL, Terri",https://www.congress.gov/member/terri-sewell/S001185
"PALMER, Gary James",https://www.congress.gov/member/gary-palmer/P000609
"MOORE, Barry",https://www.congress.gov/member/barry-moore/M001212
"STRONG, Dale",https://www.congress.gov/member/dale-strong/S001220
"FIGURES, Shomari",https://www.congress.gov/member/shomari-figures/F000481
"ADERHOLT, Robert",https://www.congress.gov/member/robert-aderholt/A000055
"BEGICH, Nicholas J., III",https://www.congress.gov/member/nicholas-begich/B001323
"GRIJALVA, Raúl M.",https://www.congress.gov/member/raul-grijalva/G000551
"GOSAR, Paul",https://www.congress.gov/member/paul-gosar/G000565
"SCHWEIKERT, David",https://www.congress.gov/member/david-schweikert/S001183
"BIGGS, Andrew S.",https://www.congress.gov/member/andy-biggs/B001302
"STANTON, Greg",https://www.congress.gov/member/greg-stanton/S001211
"CISCOMANI, Juan",https://www.congress.gov/member/juan-ciscomani/C001133
"CRANE, Eli",https://www.congress.gov/member/elijah-crane/C001132
"ANSARI, Yassamin",https://www.congress.gov/member/yassamin-ansari/A000381
"HAMADEH, Abraham J.",https://www.congress.gov/member/abraham-hamadeh/H001098
"CRAWFORD, Rick",https://www.congress.gov/member/eric-crawford/C001087
"WOMACK, Steve",https://www.congress.gov/member/steve-womack/W000809
"HILL, French",https://www.congress.gov/member/j-hill/H001072
"WESTERMAN, Bruce Eugene",https://www.congress.gov/member/bruce-westerman/W000821
"PELOSI, Nancy",https://www.congress.gov/member/nancy-pelosi/P000197
"ISSA, Darrell",https://www.congress.gov/member/darrell-issa/I000056
"SÁNCHEZ, Linda T.",https://www.congress.gov/member/linda-sanchez/S001156
"COSTA, Jim",https://www.congress.gov/member/jim-costa/C001059
"MATSUI, Doris",https://www.congress.gov/member/doris-matsui/M001163
"McCLINTOCK, Tom",https://www.congress.gov/member/tom-mcclintock/M001177
"CHU, Judy",https://www.congress.gov/member/judy-chu/C001080
"GARAMENDI, John",https://www.congress.gov/member/john-garamendi/G000559
"LaMALFA, Doug",https://www.congress.gov/member/doug-lamalfa/L000578
"HUFFMAN, Jared",https://www.congress.gov/member/jared-huffman/H001068
"BERA, Ami",https://www.congress.gov/member/ami-bera/B001287
"SWALWELL, Eric",https://www.congress.gov/member/eric-swalwell/S001193
"VALADAO, David G.",https://www.congress.gov/member/david-valadao/V000129
"BROWNLEY, Julia",https://www.congress.gov/member/julia-brownley/B001285
"RUIZ, Raul",https://www.congress.gov/member/raul-ruiz/R000599
"TAKANO, Mark",https://www.congress.gov/member/mark-takano/T000472
"VARGAS, Juan",https://www.congress.gov/member/juan-vargas/V000130
"PETERS, Scott",https://www.congress.gov/member/scott-peters/P000608
"DESAULNIER, Mark James",https://www.congress.gov/member/mark-desaulnier/D000623
"AGUILAR, Peter Rey",https://www.congress.gov/member/pete-aguilar/A000371
"LIEU, Ted",https://www.congress.gov/member/ted-lieu/L000582
"TORRES, Norma Judith",https://www.congress.gov/member/norma-torres/T000474
"BARRAGÁN, Nanette Diaz",https://www.congress.gov/member/nanette-barragan/B001300
"CARBAJAL, Salud",https://www.congress.gov/member/salud-carbajal/C001112
"CORREA, Jose Luis",https://www.congress.gov/member/j-correa/C001110
"KHANNA, Rohit",https://www.congress.gov/member/ro-khanna/K000389
"PANETTA, James Varni",https://www.congress.gov/member/jimmy-panetta/P000613
"GOMEZ, Jimmy",https://www.congress.gov/member/jimmy-gomez/G000585
"CISNEROS, Gil",https://www.congress.gov/member/gilbert-cisneros/C001123
"HARDER, Josh",https://www.congress.gov/member/josh-harder/H001090
"LEVIN, Mike",https://www.congress.gov/member/mike-levin/L000593
"JACOBS, Sara",https://www.congress.gov/member/sara-jacobs/J000305
"KIM, Young",https://www.congress.gov/member/young-kim/K000397
"OBERNOLTE, Jay",https://www.congress.gov/member/jay-obernolte/O000019
"GARCIA, Robert",https://www.congress.gov/member/robert-garcia/G000598
"KAMLAGER-DOVE, Sydney",https://www.congress.gov/member/sydney-kamlager-dove/K000400
"KILEY, Kevin",https://www.congress.gov/member/kevin-kiley/K000401
"MULLIN, Kevin",https://www.congress.gov/member/kevin-mullin/M001225
"FONG, Vince",https://www.congress.gov/member/vince-fong/F000480
"FRIEDMAN, Laura",https://www.congress.gov/member/laura-friedman/F000483
"GRAY, Adam",https://www.congress.gov/member/adam-gray/G000605
"LICCARDO, Sam T.",https://www.congress.gov/member/sam-liccardo/L000607
"MIN, Dave",https://www.congress.gov/member/dave-min/M001241
"RIVAS, Luz M.",https://www.congress.gov/member/luz-rivas/R000620
"SIMON, Lateefah",https://www.congress.gov/member/lateefah-simon/S001231
"TRAN, Derek",https://www.congress.gov/member/derek-tran/T000491
"WHITESIDES, George",https://www.congress.gov/member/george-whitesides/W000830
"WATERS, Maxine",https://www.congress.gov/member/maxine-waters/W000187
"CALVERT, Ken",https://www.congress.gov/member/ken-calvert/C000059
"LOFGREN, Zoe",https://www.congress.gov/member/zoe-lofgren/L000397
"SHERMAN, Brad",https://www.congress.gov/member/brad-sherman/S000344
"THOMPSON, Michael",https://www.congress.gov/member/mike-thompson/T000460
"CROW, Jason",https://www.congress.gov/member/jason-crow/C001121
"NEGUSE, Joseph",https://www.congress.gov/member/joe-neguse/N000191
"BOEBERT, Lauren",https://www.congress.gov/member/lauren-boebert/B000825
"PETTERSEN, Brittany",https://www.congress.gov/member/brittany-pettersen/P000620
"CRANK, Jeff",https://www.congress.gov/member/jeff-crank/C001137
"EVANS, Gabe",https://www.congress.gov/member/gabe-evans/E000300
"HURD, Jeff",https://www.congress.gov/member/jeff-hurd/H001100
"DeGETTE, Diana",https://www.congress.gov/member/diana-degette/D000197
"COURTNEY, Joe",https://www.congress.gov/member/joe-courtney/C001069
"HIMES, James A.",https://www.congress.gov/member/james-himes/H001047
"HAYES, Jahana",https://www.congress.gov/member/jahana-hayes/H001081
"DeLAURO, Rosa L.",https://www.congress.gov/member/rosa-delauro/D000216
"LARSON, John B.",https://www.congress.gov/member/john-larson/L000557
"MCBRIDE, Sarah",https://www.congress.gov/member/sarah-mcbride/M001238
"DIAZ-BALART, Mario",https://www.congress.gov/member/mario-diaz-balart/D000600
"WASSERMAN SCHULTZ, Debbie",https://www.congress.gov/member/debbie-wasserman-schultz/W000797
"CASTOR, Kathy",https://www.congress.gov/member/kathy-castor/C001066
"BUCHANAN, Vernon G.",https://www.congress.gov/member/vern-buchanan/B001260
"BILIRAKIS, Gus",https://www.congress.gov/member/gus-bilirakis/B001257
"WEBSTER, Daniel A.",https://www.congress.gov/member/daniel-webster/W000806
"WILSON, Frederica",https://www.congress.gov/member/frederica-wilson/W000808
"FRANKEL, Lois",https://www.congress.gov/member/lois-frankel/F000462
"DUNN, Neal Patrick",https://www.congress.gov/member/neal-dunn/D000628
"MAST, Brian Jeffery",https://www.congress.gov/member/brian-mast/M001199
"RUTHERFORD, John Henry",https://www.congress.gov/member/john-rutherford/R000609
"SOTO, Darren Michael",https://www.congress.gov/member/darren-soto/S001200
"STEUBE, William",https://www.congress.gov/member/w-steube/S001214
"WALTZ, Michael",https://www.congress.gov/member/michael-waltz/W000823
"CAMMACK, Kat",https://www.congress.gov/member/kat-cammack/C001039
"DONALDS, Byron",https://www.congress.gov/member/byron-donalds/D000032
"FRANKLIN, C. Scott",https://www.congress.gov/member/scott-franklin/F000472
"GIMENEZ, Carlos A.",https://www.congress.gov/member/carlos-gimenez/G000593
"SALAZAR, Maria Elvira",https://www.congress.gov/member/maria-salazar/S000168
"CHERFILUS-MCCORMICK, Sheila",https://www.congress.gov/member/sheila-cherfilus-mccormick/C001127
"BEAN, Aaron",https://www.congress.gov/member/aaron-bean/B001314
"FROST, Maxwell",https://www.congress.gov/member/maxwell-frost/F000476
"LEE, Laurel",https://www.congress.gov/member/laurel-lee/L000597
"LUNA, Anna",https://www.congress.gov/member/anna-paulina-luna/L000596
"MILLS, Cory",https://www.congress.gov/member/cory-mills/M001216
"MOSKOWITZ, Jared",https://www.congress.gov/member/jared-moskowitz/M001217
"HARIDOPOLOS, Mike",https://www.congress.gov/member/mike-haridopolos/H001099
"SCOTT, David",https://www.congress.gov/member/david-scott/S001157
"SCOTT, Austin",https://www.congress.gov/member/austin-scott/S001189
"CARTER, Buddy",https://www.congress.gov/member/earl-carter/C001103
"LOUDERMILK, Barry D.",https://www.congress.gov/member/barry-loudermilk/L000583
"ALLEN, Rick W.",https://www.congress.gov/member/rick-allen/A000372
"McBATH, Lucy",https://www.congress.gov/member/lucy-mcbath/M001208
"CLYDE, Andrew S.",https://www.congress.gov/member/andrew-clyde/C001116
"GREENE, Marjorie Taylor",https://www.congress.gov/member/marjorie-greene/G000596
"WILLIAMS, Nikema",https://www.congress.gov/member/nikema-williams/W000788
"COLLINS, Mike",https://www.congress.gov/member/mike-collins/C001129
"MCCORMICK, Rich",https://www.congress.gov/member/richard-mccormick/M001218
"JACK, Brian",https://www.congress.gov/member/brian-jack/J000311
"BISHOP, Sanford Dixon, Jr.",https://www.congress.gov/member/sanford-bishop/B000490
"CASE, Ed",https://www.congress.gov/member/ed-case/C001055
"TOKUDA, Jill",https://www.congress.gov/member/jill-tokuda/T000487
"FULCHER, Russell",https://www.congress.gov/member/russ-fulcher/F000469
"SIMPSON, Michael K.",https://www.congress.gov/member/michael-simpson/S001148
"FOSTER, Bill",https://www.congress.gov/member/bill-foster/F000454
"QUIGLEY, Mike",https://www.congress.gov/member/mike-quigley/Q000023
"SCHNEIDER, Brad",https://www.congress.gov/member/bradley-schneider/S001190
"KELLY, Robin L.",https://www.congress.gov/member/robin-kelly/K000385
"BOST, Mike",https://www.congress.gov/member/mike-bost/B001295
"LaHOOD, Darin",https://www.congress.gov/member/darin-lahood/L000585
"KRISHNAMOORTHI, S. Raja",https://www.congress.gov/member/raja-krishnamoorthi/K000391
"CASTEN, Sean",https://www.congress.gov/member/sean-casten/C001117
"GARCÍA, Jesús",https://www.congress.gov/member/jesus-garcia/G000586
"UNDERWOOD, Lauren",https://www.congress.gov/member/lauren-underwood/U000040
"MILLER, Mary E.",https://www.congress.gov/member/mary-miller/M001211
"BUDZINSKI, Nikki",https://www.congress.gov/member/nikki-budzinski/B001315
"JACKSON, Jonathan",https://www.congress.gov/member/jonathan-jackson/J000309
"RAMIREZ, Delia",https://www.congress.gov/member/delia-ramirez/R000617
"SORENSEN, Eric",https://www.congress.gov/member/eric-sorensen/S001225
"DAVIS, Danny K.",https://www.congress.gov/member/danny-davis/D000096
"SCHAKOWSKY, Janice D.",https://www.congress.gov/member/janice-schakowsky/S001145
"CARSON, André",https://www.congress.gov/member/andre-carson/C001072
"STUTZMAN, Marlin",https://www.congress.gov/member/marlin-stutzman/S001188
"BAIRD, James",https://www.congress.gov/member/james-baird/B001307
"MRVAN, Frank J.",https://www.congress.gov/member/frank-mrvan/M001214
"SPARTZ, Victoria",https://www.congress.gov/member/victoria-spartz/S000929
"YAKYM, Rudy, III",https://www.congress.gov/member/rudy-yakym/Y000067
"HOUCHIN, Erin",https://www.congress.gov/member/erin-houchin/H001093
"MESSMER, Mark B.",https://www.congress.gov/member/mark-messmer/M001233
"SHREVE, Jefferson",https://www.congress.gov/member/jefferson-shreve/S001229
"FEENSTRA, Randy",https://www.congress.gov/member/randy-feenstra/F000446
"HINSON, Ashley",https://www.congress.gov/member/ashley-hinson/H001091
"MILLER-MEEKS, Mariannette",https://www.congress.gov/member/mariannette-miller-meeks/M001215
"NUNN, Zach",https://www.congress.gov/member/zachary-nunn/N000193
"ESTES, Ron",https://www.congress.gov/member/ron-estes/E000298
"DAVIDS, Sharice",https://www.congress.gov/member/sharice-davids/D000629
"MANN, Tracey",https://www.congress.gov/member/tracey-mann/M000871
"SCHMIDT, Derek",https://www.congress.gov/member/derek-schmidt/S001228
"ROGERS, Harold Dallas (Hal)",https://www.congress.gov/member/harold-rogers/R000395
"GUTHRIE, Brett",https://www.congress.gov/member/brett-guthrie/G000558
"BARR, Garland H. (Andy) IV",https://www.congress.gov/member/andy-barr/B001282
"COMER, James",https://www.congress.gov/member/james-comer/C001108
"MCGARVEY, Morgan",https://www.congress.gov/member/morgan-mcgarvey/M001220
"MASSIE, Thomas",https://www.congress.gov/member/thomas-massie/M001184
"SCALISE, Steve",https://www.congress.gov/member/steve-scalise/S001176
"HIGGINS, Clay",https://www.congress.gov/member/clay-higgins/H001077
"JOHNSON, Mike",https://www.congress.gov/member/mike-johnson/J000299
"LETLOW, Julia",https://www.congress.gov/member/julia-letlow/L000595
"CARTER, Troy",https://www.congress.gov/member/troy-carter/C001125
"FIELDS, Cleo",https://www.congress.gov/member/cleo-fields/F000110
"PINGREE, Chellie",https://www.congress.gov/member/chellie-pingree/P000597
"GOLDEN, Jared",https://www.congress.gov/member/jared-golden/G000592
"HOYER, Steny Hamilton",https://www.congress.gov/member/steny-hoyer/H000874
"MFUME, Kweisi",https://www.congress.gov/member/kweisi-mfume/M000687
"HARRIS, Andy",https://www.congress.gov/member/andy-harris/H001052
"RASKIN, Jamie Ben",https://www.congress.gov/member/jamie-raskin/R000606
"IVEY, Glenn",https://www.congress.gov/member/glenn-ivey/I000058
"ELFRETH, Sarah",https://www.congress.gov/member/sarah-elfreth/E000301
"MCCLAIN DELANEY, April",https://www.congress.gov/member/april-mcclain-delaney/M001232
"OLSZEWSKI, Johnny, Jr.",https://www.congress.gov/member/johnny-olszewski/O000176
"NEAL, Richard Edmund",https://www.congress.gov/member/richard-neal/N000015
"LYNCH, Stephen F.",https://www.congress.gov/member/stephen-lynch/L000562
"KEATING, William R.",https://www.congress.gov/member/william-keating/K000375
"CLARK, Katherine M.",https://www.congress.gov/member/katherine-clark/C001101
"MOULTON, Seth",https://www.congress.gov/member/seth-moulton/M001196
"PRESSLEY, Ayanna",https://www.congress.gov/member/ayanna-pressley/P000617
"TRAHAN, Lori",https://www.congress.gov/member/lori-trahan/T000482
"AUCHINCLOSS, Jake",https://www.congress.gov/member/jake-auchincloss/A000148
"McGOVERN, James P.",https://www.congress.gov/member/james-mcgovern/M000312
"WALBERG, Tim",https://www.congress.gov/member/tim-walberg/W000798
"HUIZENGA, Bill",https://www.congress.gov/member/bill-huizenga/H001058
"MOOLENAAR, John",https://www.congress.gov/member/john-moolenaar/M001194
"DINGELL, Debbie",https://www.congress.gov/member/debbie-dingell/D000624
"BERGMAN, John",https://www.congress.gov/member/jack-bergman/B001301
"STEVENS, Haley",https://www.congress.gov/member/haley-stevens/S001215
"TLAIB, Rashida",https://www.congress.gov/member/rashida-tlaib/T000481
"MCCLAIN, Lisa C.",https://www.congress.gov/member/lisa-mcclain/M001136
"JAMES, John",https://www.congress.gov/member/john-james/J000307
"SCHOLTEN, Hillary",https://www.congress.gov/member/hillary-scholten/S001221
"THANEDAR, Shri",https://www.congress.gov/member/shri-thanedar/T000488
"BARRETT, Tom",https://www.congress.gov/member/tom-barrett/B001321
"MCDONALD RIVET, Kristen",https://www.congress.gov/member/kristen-mcdonald-rivet/M001237
"McCOLLUM, Betty",https://www.congress.gov/member/betty-mccollum/M001143
"EMMER, Thomas Earl II",https://www.congress.gov/member/tom-emmer/E000294
"CRAIG, Angela",https://www.congress.gov/member/angie-craig/C001119
"OMAR, Ilhan",https://www.congress.gov/member/ilhan-omar/O000173
"STAUBER, Peter",https://www.congress.gov/member/pete-stauber/S001212
"FISCHBACH, Michelle",https://www.congress.gov/member/michelle-fischbach/F000470
"FINSTAD, Brad",https://www.congress.gov/member/brad-finstad/F000475
"MORRISON, Kelly",https://www.congress.gov/member/kelly-morrison/M001234
"KELLY, Trent",https://www.congress.gov/member/trent-kelly/K000388
"GUEST, Michael",https://www.congress.gov/member/michael-guest/G000591
"EZELL, Mike",https://www.congress.gov/member/mike-ezell/E000235
"THOMPSON, Bennie",https://www.congress.gov/member/bennie-thompson/T000193
"GRAVES, Samuel",https://www.congress.gov/member/sam-graves/G000546
"CLEAVER, Emanuel, II",https://www.congress.gov/member/emanuel-cleaver/C001061
"WAGNER, Ann",https://www.congress.gov/member/ann-wagner/W000812
"SMITH, Jason",https://www.congress.gov/member/jason-smith/S001195
"ALFORD, Mark",https://www.congress.gov/member/mark-alford/A000379
"BURLISON, Eric",https://www.congress.gov/member/eric-burlison/B001316
"BELL, Wesley",https://www.congress.gov/member/wesley-bell/B001324
"ONDER, Robert F., Jr.",https://www.congress.gov/member/robert-onder/O000177
"ZINKE, Ryan",https://www.congress.gov/member/ryan-zinke/Z000018
"DOWNING, Troy",https://www.congress.gov/member/troy-downing/D000634
"SMITH, Adrian",https://www.congress.gov/member/adrian-smith/S001172
"BACON, Donald J.",https://www.congress.gov/member/don-bacon/B001298
"FLOOD, Mike",https://www.congress.gov/member/mike-flood/F000474
"TITUS, Alice (Dina)",https://www.congress.gov/member/dina-titus/T000468
"AMODEI, Mark E.",https://www.congress.gov/member/mark-amodei/A000369
"HORSFORD, Steven",https://www.congress.gov/member/steven-horsford/H001066
"LEE, Susie",https://www.congress.gov/member/susie-lee/L000590
"PAPPAS, Chris",https://www.congress.gov/member/chris-pappas/P000614
"GOODLANDER, Maggie",https://www.congress.gov/member/maggie-goodlander/G000604
"SMITH, Christopher Henry",https://www.congress.gov/member/christopher-smith/S000522
"PALLONE, Frank, Jr.",https://www.congress.gov/member/frank-pallone/P000034
"NORCROSS, Donald",https://www.congress.gov/member/donald-norcross/N000188
"WATSON COLEMAN, Bonnie",https://www.congress.gov/member/bonnie-watson-coleman/W000822
"GOTTHEIMER, Josh S.",https://www.congress.gov/member/josh-gottheimer/G000583
"SHERRILL, Mikie",https://www.congress.gov/member/mikie-sherrill/S001207
"KEAN, Thomas",https://www.congress.gov/member/thomas-kean/K000398
"MENENDEZ, Robert",https://www.congress.gov/member/robert-menendez/M001226
"MCIVER, LaMonica",https://www.congress.gov/member/lamonica-mciver/M001229
"CONAWAY, Herbert C., Jr.",https://www.congress.gov/member/herbert-conaway/C001136
"POU, Nellie",https://www.congress.gov/member/nellie-pou/P000621
"VAN DREW, Jefferson",https://www.congress.gov/member/jefferson-van-drew/V000133
"LEGER FERNANDEZ, Teresa",https://www.congress.gov/member/teresa-leger-fernandez/L000273
"STANSBURY, Melanie Ann",https://www.congress.gov/member/melanie-stansbury/S001218
"VASQUEZ, Gabriel",https://www.congress.gov/member/gabe-vasquez/V000136
"CLARKE, Yvette Diane",https://www.congress.gov/member/yvette-clarke/C001067
"TONKO, Paul",https://www.congress.gov/member/paul-tonko/T000469
"MENG, Grace",https://www.congress.gov/member/grace-meng/M001188
"JEFFRIES, Hakeem",https://www.congress.gov/member/hakeem-jeffries/J000294
"STEFANIK, Elise M",https://www.congress.gov/member/elise-stefanik/S001196
"ESPAILLAT, Adriano J.",https://www.congress.gov/member/adriano-espaillat/E000297
"SUOZZI, Thomas",https://www.congress.gov/member/thomas-suozzi/S001201
"TENNEY, Claudia",https://www.congress.gov/member/claudia-tenney/T000478
"MORELLE, Joseph D.",https://www.congress.gov/member/joseph-morelle/M001206
"OCASIO-CORTEZ, Alexandria",https://www.congress.gov/member/alexandria-ocasio-cortez/O000172
"GARBARINO, Andrew R.",https://www.congress.gov/member/andrew-garbarino/G000597
"MALLIOTAKIS, Nicole",https://www.congress.gov/member/nicole-malliotakis/M000317
"TORRES, Ritchie",https://www.congress.gov/member/ritchie-torres/T000486
"RYAN, Patrick",https://www.congress.gov/member/patrick-ryan/R000579
